                       bname  favodds  udogsodds  giftreward  standardized_giftreward           x
26                       pam     -300        600   33.333333                 1.500000   22.222222
19                francedeaw     -180        310   55.555556                 1.107143   50.179211
3                      cubs2     -384        425   26.041667                 0.878099   29.656863
1                     munbha     -240        250   41.666667                 0.735294   56.666667
18            belslfirsthalf     -380        330   26.315789                 0.687500   38.277512
24                  turkgeor     -340        300   29.411765                 0.681818   43.137255
8               spacroaou0.5     -320        280   31.250000                 0.666667   46.875000
22                 porcze0.5     -400        330   25.000000                 0.660000   37.878788
11                       mlb     -320        260   31.250000                 0.619048   50.480769
2                    mlbwash     -240        210   41.666667                 0.617647   67.460317
23                  porczeds     -240        210   41.666667                 0.617647   67.460317
9                       also     -650        455   15.384615                 0.606667   25.359256
17                   belslo2     -900        600   11.111111                 0.600000   18.518519
13         romaniaukraine0.5     -300        240   33.333333                 0.600000   55.555556
0                     munbha     -320        245   31.250000                 0.583333   53.571429
16                  belgslov     -260        210   38.461538                 0.583333   65.934066
15   romaniaukrainefirsthalf     -180        160   55.555556                 0.571429   97.222222
4                      cubs3     -189        165   52.910053                 0.570934   92.672759
25                  evverton     -204        170   49.019608                 0.559211   87.658593
21                      mlb8     -180        150   55.555556                 0.535714  103.703704
14         romaniaukraine2.5     -800        475   12.500000                 0.527778   23.684211
10             cubscardinals     -125        115   80.000000                 0.511111  156.521739
5                   baseball     -155        130   64.516129                 0.509804  126.550868
6                    linenow     -150        125   66.666667                 0.500000  133.333333
20   franceaustriaoverundder     -130        105   76.923077                 0.456522  168.498168
7                         au     -125        100   80.000000                 0.444444  180.000000
12                      mlb2     -125        100   80.000000                 0.444444  180.000000
